genename	bnum	geneid	isNonUnique
yafQ	b0225	gene225	FALSE
mokC	b0018	gene15	FALSE
ghrB	b3553	gene3620	FALSE
yafS	b0213	gene211	FALSE
yjjJ	b4385	gene4478	FALSE
rimI	b4373	gene4465	FALSE
yjjZ	b4567	gene4459	FALSE
sroH	b4691	gene4069	FALSE
rsmC	b4371	gene4463	FALSE
acnB	b0118	gene115	FALSE
umpG	b2744	gene2803	FALSE
acnA	b1276	gene1301	FALSE
pka	b2584	gene2650	FALSE
menH	b2263	gene2319	FALSE
menI	b1686	gene1727	FALSE
menD	b2264	gene2320	FALSE
sieB	b1353	gene1385	FALSE
menF	b2265	gene2321	FALSE
kup	b3747	gene3829	FALSE
aldB	b3588	gene3661	FALSE
aldA	b1415	gene1448	FALSE
menC	b2261	gene2317	FALSE
tatD	b4483	gene3920	FALSE
xylB	b3564	gene3635	FALSE
mazG	b2781	gene2841	FALSE
priC	b0467	gene472	FALSE
priB	b4201	gene4291	FALSE
fecD	b4288	gene4374	FALSE
cheB	b1883	gene1931	FALSE
ysaD	b4649	gene3656	FALSE
wzb	b2061	gene2112	FALSE
wzc	b2060	gene2111	FALSE
ysaA	b3573	gene3644	FALSE
wza	b2062	gene2113	FALSE
nfsA	b0851	gene865	FALSE
yqeI	b2847	gene2911	FALSE
rsmI	b3146	gene3204	FALSE
hicB	b1438	gene1473	FALSE
yebZ	b1840	gene1887	FALSE
mepA	b2328	gene2384	FALSE
yebT	b1834	gene1879	FALSE
yebV	b1836	gene1881	FALSE
yebW	b1837	gene1882	FALSE
yebQ	b1828	gene1873	FALSE
mepH	b1655	gene1694	FALSE
yebS	b1833	gene1878	FALSE
yebO	b1825	gene1869	FALSE
mepS	b2175	gene2230	FALSE
yebK	b1853	gene1900	FALSE
yebE	b1846	gene1893	FALSE
yebF	b1847	gene1894	FALSE
yebG	b1848	gene1895	FALSE
dgoT	b3691	gene3772	FALSE
yebB	b1862	gene1910	FALSE
yebC	b1864	gene1912	FALSE
yjiK	b4333	gene4425	FALSE
ygjJ	b3079	gene3140	FALSE
ygjK	b3080	gene3141	FALSE
ygjH	b3074	gene3135	FALSE
yagP	b4694	gene290	FALSE
bax	b3570	gene3641	FALSE
trmL	b3606	gene3684	FALSE
wzzB	b2027	gene2078	FALSE
wzzE	b3785	gene3864	FALSE
ygjV	b3090	gene3151	FALSE
fecI	b4293	gene4379	FALSE
ygjR	b3087	gene3148	FALSE
ygjP	b3085	gene3146	FALSE
ygjQ	b3086	gene3147	FALSE
thiH	b3990	gene4070	FALSE
dctA	b3528	gene3593	FALSE
pmrD	b2259	gene2315	FALSE
mrcA	b3396	gene3457	FALSE
dctR	b3507	gene3570	FALSE
ybaK	b0481	gene486	FALSE
ybaN	b0468	gene473	FALSE
ybaO	b0447	gene452	FALSE
ybaL	b0478	gene483	FALSE
ybaM	b0466	gene471	FALSE
ybaB	b0471	gene476	FALSE
ybaA	b0456	gene461	FALSE
ulaR	b4191	gene4281	FALSE
dnaC	b4361	gene4452	FALSE
ybaE	b0445	gene450	FALSE
ybaZ	b0454	gene459	FALSE
mug	b3068	gene3129	FALSE
ybaY	b0453	gene458	FALSE
caiC	b0037	gene36	FALSE
ybaP	b0482	gene488	FALSE
ybaQ	b0483	gene489	FALSE
ybaV	b0442	gene447	FALSE
phnF	b4102	gene4187	FALSE
ybaT	b0486	gene492	FALSE
alaU	b3276	gene3337	FALSE
ygdD	b2807	gene2868	FALSE
ygdG	b2798	gene2859	FALSE
yijD	b3964	gene4044	FALSE
yoeI	b4678	gene2064	FALSE
ygdB	b2824	gene2886	FALSE
yjbF	b4027	gene4108	FALSE
alaW	b2397	gene2455	FALSE
ygdH	b2795	gene2856	FALSE
ygdI	b2809	gene2871	FALSE
yijO	b3954	gene4033	FALSE
alaX	b2396	gene2454	FALSE
fucI	b2802	gene2863	FALSE
ygdR	b2833	gene2895	FALSE
livM	b3456	gene3516	FALSE
pitA	b3493	gene3553	FALSE
pitB	b2987	gene3049	FALSE
yjbB	b4020	gene4101	FALSE
rttR	b4425	gene1251	FALSE
srkA	b3859	gene3938	FALSE
rimP	b3170	gene3230	FALSE
fnr	b1334	gene1363	FALSE
lomR	b4570	gene1400	FALSE
cspA	b3556	gene3623	FALSE
rfbC	b2038	gene2089	FALSE
xseA	b2509	gene2570	FALSE
yqhH	b3014	gene3073	FALSE
cof	b0446	gene451	FALSE
rimL	b1427	gene1461	FALSE
rimM	b2608	gene2674	FALSE
rimO	b0835	gene848	FALSE
yjbM	b4048	gene4130	FALSE
rimJ	b1066	gene1079	FALSE
rimK	b0852	gene866	FALSE
yjbL	b4047	gene4129	FALSE
putP	b1015	gene1032	FALSE
uhpA	b3669	gene3749	FALSE
putA	b1014	gene1031	FALSE
yjbI	b4038	gene4120	FALSE
yjbH	b4029	gene4110	FALSE
yaaY	b0024	gene23	FALSE
yaaX	b0005	gene4	FALSE
tonB	b1252	gene1275	FALSE
ydaE	b4526	gene1383	FALSE
ydaF	b4527	gene1386	FALSE
ydaG	b1355	gene1387	FALSE
yaaU	b0045	gene44	FALSE
ydaM	b1341	gene1371	FALSE
yaaW	b0011	gene10	FALSE
yaaI	b0013	gene11	FALSE
frr	b0172	gene169	FALSE
fadA	b3845	gene3924	FALSE
yaaJ	b0007	gene6	FALSE
ydaT	b1358	gene1390	FALSE
ydaU	b1359	gene1391	FALSE
ydaV	b1360	gene1392	FALSE
ydaW	b1361	gene1393	FALSE
yaaA	b0006	gene5	FALSE
ydaY	b1366	gene1398	FALSE
chiA	b3338	gene3399	FALSE
yjbQ	b4056	gene4139	FALSE
pgrR	b1328	gene1357	FALSE
znuC	b1858	gene1905	FALSE
znuB	b1859	gene1906	FALSE
znuA	b1857	gene1904	FALSE
yjaA	b4011	gene4092	FALSE
slt	b4392	gene4485	FALSE
iraM	b1160	gene1175	FALSE
slp	b3506	gene3569	FALSE
ais	b2252	gene2307	FALSE
yjhD	b4281	gene4367	FALSE
gnd	b2029	gene2080	FALSE
yjbT	b4620	gene4111	FALSE
lepA	b2569	gene2635	FALSE
lepB	b2568	gene2634	FALSE
yfcH	b2304	gene2360	FALSE
yfcI	b2305	gene2361	FALSE
psuK	b2166	gene2220	FALSE
hupB	b0440	gene445	FALSE
yfcL	b2325	gene2381	FALSE
rcnA	b2106	gene2160	FALSE
nikD	b3479	gene3539	FALSE
yfcO	b2332	gene2388	FALSE
hldD	b3619	gene3697	FALSE
yfcA	b2327	gene2383	FALSE
yfcC	b2298	gene2354	FALSE
yfcD	b2299	gene2355	FALSE
yfcE	b2300	gene2356	FALSE
